fecha,ruta,pasajeros,viajes,dia_semana,mes,festivo,clima
2024-01-01,Ruta A,1234,49,0,1,1,Lluvia
2024-01-02,Ruta A,1835,37,1,1,0,Soleado
2024-01-03,Ruta A,1614,60,2,1,0,Soleado
2024-01-04,Ruta A,1544,62,3,1,0,Soleado
2024-01-05,Ruta A,1574,44,4,1,0,Soleado
2024-01-06,Ruta A,746,28,5,1,0,Nublado
2024-01-07,Ruta A,785,25,6,1,0,Soleado
2024-01-08,Ruta A,1268,33,0,1,0,Soleado
2024-01-09,Ruta A,1455,35,1,1,0,Soleado
2024-01-10,Ruta A,1332,32,2,1,0,Soleado
2024-01-11,Ruta A,1349,37,3,1,0,Soleado
2024-01-12,Ruta A,1224,39,4,1,0,Soleado
2024-01-13,Ruta A,883,33,5,1,0,Soleado
2024-01-14,Ruta A,773,21,6,1,0,Soleado
2024-01-15,Ruta A,1596,40,0,1,0,Soleado
2024-01-16,Ruta A,1530,53,1,1,0,Soleado
2024-01-17,Ruta A,1398,50,2,1,0,Soleado
2024-01-18,Ruta A,1199,35,3,1,0,Lluvia
2024-01-19,Ruta A,1385,30,4,1,0,Soleado
2024-01-20,Ruta A,805,28,5,1,0,Lluvia
2024-01-21,Ruta A,585,12,6,1,0,Lluvia
2024-01-22,Ruta A,1540,39,0,1,0,Soleado
2024-01-23,Ruta A,1159,29,1,1,0,Soleado
2024-01-24,Ruta A,1364,45,2,1,0,Lluvia
2024-01-25,Ruta A,1365,35,3,1,0,Soleado
2024-01-26,Ruta A,1372,46,4,1,0,Soleado
2024-01-27,Ruta A,953,34,5,1,0,Soleado
2024-01-28,Ruta A,761,17,6,1,0,Lluvia
2024-01-29,Ruta A,1120,40,0,1,0,Soleado
2024-01-30,Ruta A,1427,48,1,1,0,Nublado
2024-01-31,Ruta A,1249,43,2,1,0,Soleado
2024-02-01,Ruta A,1402,40,3,2,0,Lluvia
2024-02-02,Ruta A,1125,42,4,2,0,Lluvia
2024-02-03,Ruta A,895,18,5,2,0,Soleado
2024-02-04,Ruta A,771,16,6,2,0,Soleado
2024-02-05,Ruta A,1200,31,0,2,0,Lluvia
2024-02-06,Ruta A,1489,55,1,2,0,Soleado
2024-02-07,Ruta A,1340,48,2,2,0,Nublado
2024-02-08,Ruta A,1256,32,3,2,0,Soleado
2024-02-09,Ruta A,1338,37,4,2,0,Soleado
2024-02-10,Ruta A,738,19,5,2,0,Lluvia
2024-02-11,Ruta A,934,26,6,2,0,Soleado
2024-02-12,Ruta A,1512,31,0,2,0,Soleado
2024-02-13,Ruta A,1290,44,1,2,0,Lluvia
2024-02-14,Ruta A,1368,47,2,2,0,Soleado
2024-02-15,Ruta A,1514,43,3,2,0,Lluvia
2024-02-16,Ruta A,1396,54,4,2,0,Soleado
2024-02-17,Ruta A,766,25,5,2,0,Nublado
2024-02-18,Ruta A,820,18,6,2,0,Soleado
2024-02-19,Ruta A,1426,43,0,2,0,Soleado
2024-02-20,Ruta A,1441,38,1,2,0,Soleado
2024-02-21,Ruta A,1604,55,2,2,0,Soleado
2024-02-22,Ruta A,1143,35,3,2,0,Lluvia
2024-02-23,Ruta A,1196,28,4,2,0,Soleado
2024-02-24,Ruta A,870,28,5,2,0,Soleado
2024-02-25,Ruta A,605,17,6,2,0,Soleado
2024-02-26,Ruta A,1141,23,0,2,0,Lluvia
2024-02-27,Ruta A,1656,66,1,2,0,Soleado
2024-02-28,Ruta A,1714,45,2,2,0,Soleado
2024-02-29,Ruta A,981,33,3,2,0,Lluvia
2024-03-01,Ruta A,1567,46,4,3,0,Soleado
2024-03-02,Ruta A,1026,34,5,3,0,Nublado
2024-03-03,Ruta A,727,16,6,3,0,Nublado
2024-03-04,Ruta A,1355,27,0,3,0,Soleado
2024-03-05,Ruta A,1408,50,1,3,0,Nublado
2024-03-06,Ruta A,1449,36,2,3,0,Soleado
2024-03-07,Ruta A,1561,36,3,3,0,Soleado
2024-03-08,Ruta A,1333,27,4,3,0,Soleado
2024-03-09,Ruta A,766,22,5,3,0,Lluvia
2024-03-10,Ruta A,826,20,6,3,0,Nublado
2024-03-11,Ruta A,1333,32,0,3,0,Lluvia
2024-03-12,Ruta A,1481,36,1,3,0,Nublado
2024-03-13,Ruta A,1521,46,2,3,0,Soleado
2024-03-14,Ruta A,1537,36,3,3,0,Soleado
2024-03-15,Ruta A,1657,50,4,3,0,Nublado
2024-03-16,Ruta A,1012,22,5,3,0,Soleado
2024-03-17,Ruta A,672,19,6,3,0,Lluvia
2024-03-18,Ruta A,1505,37,0,3,0,Nublado
2024-03-19,Ruta A,1279,38,1,3,0,Lluvia
2024-03-20,Ruta A,1545,36,2,3,0,Soleado
2024-03-21,Ruta A,1578,35,3,3,0,Soleado
2024-03-22,Ruta A,1240,35,4,3,0,Lluvia
2024-03-23,Ruta A,795,17,5,3,0,Lluvia
2024-03-24,Ruta A,793,19,6,3,0,Lluvia
2024-03-25,Ruta A,1473,35,0,3,0,Nublado
2024-03-26,Ruta A,1180,39,1,3,0,Lluvia
2024-03-27,Ruta A,1403,30,2,3,0,Lluvia
2024-03-28,Ruta A,1432,41,3,3,0,Nublado
2024-03-29,Ruta A,1443,34,4,3,0,Soleado
2024-03-30,Ruta A,1071,30,5,3,0,Nublado
2024-03-31,Ruta A,692,18,6,3,0,Soleado
2024-04-01,Ruta A,1305,48,0,4,0,Lluvia
2024-04-02,Ruta A,1464,47,1,4,0,Nublado
2024-04-03,Ruta A,1498,32,2,4,0,Soleado
2024-04-04,Ruta A,1202,46,3,4,0,Lluvia
2024-04-05,Ruta A,1733,51,4,4,0,Soleado
2024-04-06,Ruta A,909,19,5,4,0,Nublado
2024-04-07,Ruta A,908,19,6,4,0,Nublado
2024-04-08,Ruta A,1469,49,0,4,0,Soleado
2024-04-09,Ruta A,1909,62,1,4,0,Soleado
